,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,State abbreviation,Geographic region,Level of institution,Control of institution,"Graduation rate - Bachelor degree within 6 years, total",Percent of undergraduate enrollment that are women,CITY,STABBR,ZIP,LONGITUD,LATITUDE
100,Lincoln University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missouri,Plains IA KS MN MO NE ND SD,Four or more years,Public,22.0,57.0,Jefferson City,MO,65101,-92.166724,38.564431
101,Lincoln University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missouri,Plains IA KS MN MO NE ND SD,Four or more years,Public,22.0,57.0,Lincoln University,PA,19352-0999,-75.926458,39.807722999999996
102,La Sierra University,3479.0,1627.0,477.0,87.0,29.0,400.0,510.0,410.0,530.0,410.0,520.0,17.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,59.0,58.0,Riverside,CA,92505-8247,-117.500054,33.910703999999996
103,Loyola Marymount University,11472.0,6209.0,1341.0,79.0,44.0,540.0,640.0,550.0,650.0,550.0,650.0,25.0,29.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,76.0,57.0,Los Angeles,CA,90045-2659,-118.41574399999999,33.97085
104,Menlo College,4100.0,1519.0,139.0,87.0,31.0,432.0,532.0,450.0,565.0,425.0,513.0,19.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,41.0,38.0,Atherton,CA,94027-4301,-122.190797,37.453475
105,Mills College,1827.0,1242.0,217.0,86.0,36.0,540.0,640.0,500.0,610.0,520.0,620.0,23.0,28.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,62.0,100.0,Oakland,CA,94613,-122.182294,37.781425
106,National University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,38.0,57.0,La Jolla,CA,92037-1011,-117.243026,32.909894
107,Notre Dame de Namur University,1922.0,1676.0,172.0,77.0,45.0,430.0,550.0,430.0,560.0,430.0,510.0,18.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,48.0,67.0,Belmont,CA,94002-1908,-122.28479399999999,37.517111
108,Occidental College,6072.0,2574.0,548.0,80.0,46.0,600.0,700.0,610.0,700.0,610.0,700.0,27.0,31.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,88.0,56.0,Los Angeles,CA,90041-3392,-118.210908,34.127124
109,Hope International University,408.0,191.0,78.0,91.0,37.0,433.0,538.0,420.0,528.0,423.0,530.0,17.0,22.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,44.0,55.0,Fullerton,CA,92831-3199,-117.88573000000001,33.87616
110,Pacific Union College,2103.0,1063.0,335.0,79.0,30.0,450.0,570.0,440.0,580.0,440.0,560.0,18.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,37.0,56.0,Angwin,CA,94508-9707,-122.440308,38.570584999999994
111,University of the Pacific,14222.0,10332.0,958.0,89.0,39.0,500.0,640.0,530.0,680.0,500.0,640.0,22.0,29.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,63.0,52.0,Stockton,CA,95211-0197,-121.312301,37.981424
112,Pepperdine University,9721.0,3630.0,784.0,76.0,0.0,560.0,660.0,570.0,680.0,570.0,670.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,80.0,59.0,Malibu,CA,90263,-118.707077,34.037786
113,Pitzer College,4115.0,597.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,82.0,60.0,Claremont,CA,91711-6101,-117.706675,34.104107
114,Point Loma Nazarene University,3138.0,2088.0,647.0,86.0,48.0,520.0,630.0,520.0,630.0,0.0,0.0,23.0,28.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,72.0,63.0,San Diego,CA,92106-2899,-117.25026499999998,32.718391
115,Pomona College,7153.0,996.0,397.0,78.0,51.0,690.0,760.0,690.0,780.0,690.0,780.0,31.0,34.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,96.0,52.0,Claremont,CA,91711-6319,-117.714556,34.099027
116,University of Redlands,4668.0,3137.0,673.0,71.0,37.0,510.0,610.0,520.0,620.0,0.0,0.0,23.0,27.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,73.0,55.0,Redlands,CA,92373-0999,-117.163218,34.064218
117,San Diego State University,51163.0,15970.0,4139.0,92.0,42.0,480.0,590.0,500.0,610.0,0.0,0.0,21.0,26.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,66.0,55.0,San Diego,CA,92182-0001,-117.071228,32.77525
118,University of San Diego,14693.0,7178.0,1238.0,73.0,53.0,540.0,650.0,570.0,670.0,0.0,0.0,25.0,30.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,75.0,55.0,San Diego,CA,92110-2492,-117.192073,32.770815999999996
119,San Francisco State University,31462.0,20070.0,3807.0,93.0,23.0,430.0,550.0,450.0,560.0,0.0,0.0,19.0,24.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,45.0,57.0,San Francisco,CA,94132,-122.476799,37.721224
120,University of San Francisco,14808.0,9076.0,1148.0,75.0,43.0,530.0,630.0,540.0,640.0,530.0,630.0,23.0,27.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,69.0,62.0,San Francisco,CA,94117-1080,-122.450477,37.776618
121,San Jose State University,25155.0,15967.0,3384.0,94.0,24.0,440.0,550.0,470.0,600.0,0.0,0.0,19.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,48.0,49.0,San Jose,CA,95192-0001,-121.88062099999999,37.336569
122,Santa Clara University,14339.0,7344.0,1278.0,79.0,48.0,590.0,680.0,610.0,700.0,0.0,0.0,27.0,31.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,84.0,50.0,Santa Clara,CA,95053,-121.93784,37.348362
123,Scripps College,2378.0,849.0,272.0,73.0,43.0,640.0,733.0,640.0,720.0,660.0,750.0,29.0,32.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,84.0,100.0,Claremont,CA,91711-3905,-117.711294,34.104147
124,Simpson University,573.0,318.0,150.0,85.0,33.0,460.0,570.0,450.0,580.0,450.0,560.0,21.0,23.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,47.0,66.0,Redding,CA,96003-8606,-122.332981,40.61334
125,Saint Mary's College of California,4864.0,3379.0,622.0,80.0,43.0,500.0,600.0,510.0,610.0,510.0,610.0,22.0,27.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,60.0,59.0,Moraga,CA,94575,-122.109031,37.840731
126,Sonoma State University,13142.0,10758.0,1749.0,93.0,38.0,450.0,550.0,450.0,560.0,0.0,0.0,19.0,24.0,California,Far West AK CA HI NV OR WA,Four or more years,Public,54.0,61.0,Rohnert Park,CA,94928-3609,-122.677066,38.340274
127,Vanguard University of Southern California,1495.0,1043.0,392.0,82.0,29.0,430.0,550.0,400.0,520.0,0.0,0.0,18.0,28.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,52.0,68.0,Costa Mesa,CA,92626,-117.90091100000001,33.662686
128,University of Southern California,47358.0,9395.0,2922.0,79.0,41.0,620.0,720.0,660.0,760.0,640.0,750.0,29.0,33.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,91.0,50.0,Los Angeles,CA,90089,-118.28416899999999,34.021281
129,Thomas Aquinas College,178.0,141.0,88.0,84.0,31.0,590.0,700.0,570.0,640.0,570.0,690.0,23.0,31.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,80.0,49.0,Santa Paula,CA,93060,-119.08714099999999,34.429009
130,Westmont College,2145.0,1505.0,298.0,79.0,50.0,520.0,650.0,540.0,660.0,520.0,650.0,24.0,29.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,76.0,61.0,Santa Barbara,CA,93108-1089,-119.662517,34.450151
131,Whittier College,4381.0,2771.0,446.0,85.0,34.0,460.0,570.0,470.0,580.0,470.0,580.0,20.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,67.0,56.0,Whittier,CA,90601,-118.032299,33.978773
132,Woodbury University,879.0,490.0,118.0,82.0,23.0,420.0,540.0,440.0,550.0,0.0,0.0,19.0,25.0,California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,45.0,51.0,Burbank,CA,91504-1052,-118.34114699999999,34.208011
133,Adams State University,2658.0,1398.0,519.0,16.0,90.0,440.0,533.0,450.0,550.0,440.0,530.0,17.0,22.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,25.0,50.0,Alamosa,CO,81101,-105.87964199999999,37.473636
134,University of Colorado Colorado Springs,7034.0,6401.0,1616.0,20.0,90.0,470.0,580.0,470.0,600.0,0.0,0.0,21.0,25.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,46.0,53.0,Colorado Springs,CO,80918,-104.800296,38.892734999999995
135,University of Colorado Boulder,22473.0,19710.0,5846.0,45.0,75.0,520.0,630.0,540.0,650.0,0.0,0.0,24.0,29.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,70.0,45.0,Boulder,CO,80309-0017,-105.270823,40.008781
136,Colorado Christian University,1186.0,1158.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Private not-for-profit,36.0,66.0,Lakewood,CO,80226,-105.09456000000002,39.713879999999996
137,Colorado College,5780.0,1288.0,522.0,49.0,47.0,610.0,710.0,610.0,720.0,620.0,700.0,27.0,32.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Private not-for-profit,87.0,55.0,Colorado Springs,CO,80903,-104.82269699999999,38.848859999999995
138,Colorado School of Mines,11682.0,4373.0,949.0,42.0,88.0,570.0,670.0,630.0,720.0,550.0,650.0,27.0,31.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,70.0,27.0,Golden,CO,80401,-105.22336399999999,39.751443
139,Colorado State University-Fort Collins,17970.0,13914.0,4443.0,28.0,92.0,510.0,620.0,510.0,630.0,0.0,0.0,22.0,27.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,64.0,51.0,Fort Collins,CO,80523-0100,-105.08073200000001,40.574805
140,University of Denver,13735.0,10539.0,1413.0,44.0,70.0,540.0,660.0,560.0,660.0,520.0,630.0,25.0,30.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Private not-for-profit,78.0,55.0,Denver,CO,80208,-104.96325900000001,39.678005
141,Fort Lewis College,2560.0,2240.0,876.0,23.0,87.0,470.0,570.0,475.0,580.0,0.0,0.0,20.0,25.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,37.0,49.0,Durango,CO,81301-3999,-107.86742199999999,37.275939
142,Colorado Mesa University,6459.0,5304.0,2214.0,12.0,87.0,430.0,540.0,450.0,550.0,0.0,0.0,18.0,23.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,33.0,55.0,Grand Junction,CO,81501-3122,-108.553275,39.080643
143,Metropolitan State University of Denver,5867.0,4175.0,1991.0,3.0,86.0,460.0,590.0,470.0,610.0,0.0,0.0,18.0,23.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,26.0,54.0,Denver,CO,80217-3362,-105.00504,39.744202
144,Naropa University,79.0,63.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Private not-for-profit,41.0,64.0,Boulder,CO,80302-6697,-105.26698700000001,40.014235
145,University of Northern Colorado,7602.0,5289.0,1939.0,13.0,91.0,450.0,570.0,450.0,570.0,0.0,0.0,20.0,24.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Public,46.0,63.0,Greeley,CO,80639,-104.692777,40.410855
146,Regis University,3006.0,2100.0,531.0,30.0,67.0,490.0,600.0,470.0,600.0,0.0,0.0,21.0,26.0,Colorado,Rocky Mountains CO ID MT UT WY,Four or more years,Private not-for-profit,58.0,63.0,Denver,CO,80221-1099,-105.03075600000001,39.788175
147,Albertus Magnus College,689.0,470.0,132.0,95.0,0.0,380.0,480.0,320.0,480.0,410.0,470.0,0.0,0.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,43.0,65.0,New Haven,CT,06511-1189,-72.92384799999999,41.332519
148,University of Bridgeport,5248.0,3351.0,542.0,91.0,9.0,410.0,500.0,420.0,510.0,410.0,500.0,18.0,22.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,27.0,66.0,Bridgeport,CT,06604-5620,-73.190166,41.164741
149,Central Connecticut State University,5551.0,3560.0,1293.0,97.0,3.0,450.0,540.0,460.0,560.0,450.0,550.0,19.0,25.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,52.0,48.0,New Britain,CT,06050,-72.765991,41.692502000000005
150,Charter Oak State College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,0.0,66.0,New Britain,CT,06053,-72.767972,41.688246
151,Connecticut College,4837.0,1734.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,84.0,61.0,New London,CT,06320-4196,-72.107321,41.379833000000005
152,University of Connecticut,27479.0,14745.0,3755.0,91.0,27.0,550.0,650.0,580.0,680.0,0.0,0.0,25.0,30.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,83.0,49.0,Storrs,CT,06269,-72.249948,41.809098
153,Eastern Connecticut State University,5112.0,3299.0,985.0,94.0,13.0,460.0,550.0,470.0,550.0,470.0,560.0,20.0,24.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,51.0,54.0,Willimantic,CT,06226,-72.218753,41.721672999999996
154,Fairfield University,9254.0,6585.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,82.0,60.0,Fairfield,CT,06824-5195,-73.255903,41.157672999999996
155,University of Hartford,15127.0,9338.0,1267.0,74.0,15.0,470.0,570.0,480.0,580.0,0.0,0.0,20.0,26.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,61.0,50.0,West Hartford,CT,06117-1599,-72.715213,41.798590999999995
156,Mitchell College,1162.0,670.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,39.0,46.0,New London,CT,06320,-72.09523,41.328013
157,University of New Haven,10169.0,7567.0,1174.0,90.0,24.0,460.0,550.0,470.0,580.0,460.0,560.0,20.0,25.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,55.0,49.0,West Haven,CT,06516-1916,-72.961472,41.291314
158,Quinnipiac University,20699.0,13914.0,1803.0,90.0,29.0,490.0,580.0,510.0,610.0,500.0,590.0,22.0,27.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,76.0,62.0,Hamden,CT,06518,-72.89411700000001,41.418915000000005
159,Sacred Heart University,7781.0,5932.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,70.0,64.0,Fairfield,CT,06825-1000,-73.243332,41.220893
160,University of Saint Joseph,860.0,737.0,153.0,95.0,17.0,430.0,520.0,430.0,520.0,0.0,0.0,18.0,22.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,52.0,98.0,West Hartford,CT,06117,-72.72965,41.781040999999995
161,Southern Connecticut State University,4870.0,3673.0,1380.0,97.0,8.0,410.0,510.0,410.0,510.0,420.0,530.0,17.0,22.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,49.0,61.0,New Haven,CT,06515-1355,-72.947897,41.333225
162,Trinity College,7652.0,2432.0,604.0,48.0,30.0,570.0,680.0,580.0,670.0,590.0,673.0,25.0,29.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,86.0,49.0,Hartford,CT,06106-3100,-72.69088199999999,41.747451
163,Wesleyan University,10046.0,2102.0,752.0,80.0,41.0,640.0,740.0,660.0,740.0,650.0,750.0,29.0,33.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,92.0,52.0,Middletown,CT,06459,-72.657146,41.554665
164,Western Connecticut State University,3613.0,2366.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Public,45.0,53.0,Danbury,CT,06810-6826,-73.444264,41.400365
165,Yale University,28977.0,2043.0,1356.0,84.0,35.0,700.0,800.0,710.0,790.0,710.0,800.0,32.0,35.0,Connecticut,New England CT ME MA NH RI VT,Four or more years,Private not-for-profit,98.0,49.0,New Haven,CT,06520,-72.926688,41.311158
166,Delaware State University,8884.0,3703.0,1036.0,95.0,12.0,410.0,480.0,410.0,490.0,390.0,470.0,16.0,19.0,Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Public,37.0,62.0,Dover,DE,19901,-75.54053,39.187173
167,University of Delaware,25458.0,16467.0,4224.0,99.0,27.0,520.0,630.0,540.0,650.0,520.0,630.0,24.0,29.0,Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Public,82.0,57.0,Newark,DE,19716,-75.752822,39.679577
168,Wesley College,2933.0,1833.0,556.0,89.0,9.0,360.0,470.0,360.0,475.0,360.0,455.0,16.0,23.0,Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,22.0,52.0,Dover,DE,19901-3875,-75.527716,39.163182
169,Wilmington University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Delaware,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,38.0,65.0,New Castle,DE,19720,-75.586998,39.682299
170,American University,17545.0,7566.0,1627.0,67.0,35.0,590.0,690.0,570.0,660.0,580.0,680.0,26.0,30.0,District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,80.0,61.0,Washington,DC,20016-8001,-77.088875,38.936005
171,University of the District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Public,16.0,63.0,Washington,DC,20008,-77.066247,38.943819
172,Gallaudet University,520.0,341.0,201.0,12.0,95.0,348.0,435.0,345.0,495.0,0.0,0.0,15.0,20.0,District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,48.0,54.0,Washington,DC,20002-3695,-76.993675,38.907371000000005
173,George Washington University,21756.0,7197.0,2387.0,75.0,37.0,600.0,690.0,600.0,700.0,610.0,700.0,27.0,31.0,District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,81.0,55.0,Washington,DC,20052,-77.048363,38.899229999999996
174,Georgetown University,20115.0,3413.0,1570.0,87.0,35.0,650.0,750.0,660.0,750.0,0.0,0.0,29.0,33.0,District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,92.0,55.0,Washington,DC,20057-0001,-77.073463,38.908809000000005
175,Howard University,11687.0,5762.0,1394.0,76.0,48.0,490.0,590.0,480.0,590.0,480.0,580.0,21.0,26.0,District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,61.0,67.0,Washington,DC,20059,-77.018966,38.922391999999995
176,Trinity Washington University,1493.0,781.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,District of Columbia,Mid East DE DC MD NJ NY PA,Four or more years,Private not-for-profit,34.0,95.0,Washington,DC,20017-1094,-77.004261,38.927398
177,Barry University,7845.0,3670.0,576.0,77.0,40.0,420.0,520.0,420.0,520.0,410.0,490.0,17.0,21.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,37.0,62.0,Miami,FL,33161-6695,-80.198925,25.878908
178,Bethune-Cookman University,7429.0,4948.0,1022.0,49.0,64.0,370.0,460.0,360.0,450.0,0.0,0.0,15.0,18.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,49.0,59.0,Daytona Beach,FL,32114-3099,-81.032946,29.207195000000002
179,Lynn University,2697.0,2093.0,456.0,70.0,32.0,410.0,520.0,410.0,530.0,410.0,510.0,18.0,22.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,41.0,47.0,Boca Raton,FL,33431-5598,-80.12280600000001,26.385984999999998
180,University of Central Florida,31820.0,15572.0,6068.0,64.0,36.0,540.0,630.0,550.0,640.0,510.0,610.0,23.0,28.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,67.0,55.0,Orlando,FL,32816,-81.200889,28.602159000000004
181,Eckerd College,3912.0,2779.0,534.0,71.0,49.0,510.0,620.0,500.0,610.0,0.0,0.0,23.0,28.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,66.0,61.0,Saint Petersburg,FL,33711-4700,-82.687043,27.715798
182,Edward Waters College,1907.0,521.0,208.0,24.0,69.0,350.0,440.0,360.0,440.0,340.0,430.0,15.0,18.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,20.0,47.0,Jacksonville,FL,32209,-81.68487900000001,30.344790000000003
183,Embry-Riddle Aeronautical University-Daytona Beach,4074.0,3017.0,944.0,76.0,49.0,470.0,590.0,510.0,640.0,460.0,580.0,21.0,27.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,56.0,17.0,Daytona Beach,FL,32114-3900,-81.048367,29.189903
184,Florida Agricultural and Mechanical University,5029.0,2263.0,1145.0,27.0,73.0,430.0,520.0,420.0,510.0,410.0,490.0,18.0,22.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,41.0,61.0,Tallahassee,FL,32307,-84.290226,30.428503999999997
185,Florida Atlantic University,24889.0,11880.0,3479.0,62.0,38.0,480.0,560.0,480.0,570.0,470.0,560.0,20.0,24.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,41.0,56.0,Boca Raton,FL,33431-0991,-80.10297800000001,26.372421000000003
186,Florida College,383.0,225.0,196.0,47.0,69.0,470.0,590.0,460.0,570.0,0.0,0.0,20.0,26.0,Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,9.0,50.0,Temple Terrace,FL,33617,-82.383289,28.034936
